"Domain","Value","Order Sequence"
"ADD_POSITION_NAME","Respiratory Therapist","16"
"ADD_POSITION_NAME","Speech Language Pathologist","17"
"COMP_SAL_TOTAL_TYPE","Total Per Payroll","1"
"COMP_SAL_TOTAL_TYPE","Recovered Salaries and Wages","2"
"COMP_SAL_TOTAL_TYPE","Accrued Salaries and Wages","3"
"COMP_SAL_TOTAL_TYPE","Other Labour Costs","4"
"COMP_SAL_TOTAL_TYPE","Recovered Salaries and Wages (enter as negative)","5"
"COMP_HRS_TOTAL_TYPE","Total Per Payroll","1"
"COMP_HRS_TOTAL_TYPE","Accrued Hours","2"
"COMP_HRS_TOTAL_TYPE","Not Provided","3"
"BED_OCCUPANCY_TYPE","Planned Maximum Bed Occupancy","1"
"BED_OCCUPANCY_TYPE","YTD Maximum Bed Occupancy","2"
"BED_OCCUPANCY_TYPE","Not Provided","3"
"SUBMISSION_TYPE","regular","1"
"SUBMISSION_TYPE","revised","2"
